BIGau,LGdija,BIGpf
-48.55771,-8.59112,20.50635
-15.91364,13.23897,-21.97481
11.79348,-7.14472,32.19179
70.09613,-11.47664,8.73832
-40.75179,-23.76893,5.8158
1.16966,-50.86221,-54.09562
-73.71595,-5.48252,26.40096
16.62146,-38.5727,11.68244
5.92085,-7.76288,24.72133
35.3566,1.0947,27.46421
-1.76101,-30.04529,-36.17333
45.55578,-3.34333,13.05713
50.82903,-29.52562,46.11
58.18059,5.62068,-15.79515
-1.70012,-60.70721,-11.52358
-26.15212,-83.22276,7.20582
-11.99157,22.79553,-17.31409
73.7071,-89.91787,0
-36.69718,-13.39162,-30.46675
-61.09285,29.88621,0
-9.20969,-39.73053,-29.21602
-9.80675,51.46348,16.09313
80.10929,-19.18524,13.12289
10.19338,-14.15332,11.6316
-19.84248,-22.88534,-1.45225
77.15737,-36.17544,-16.00685
69.22277,-19.59873,0
32.83906,1.6079,18.91086
-27.34861,115.0894,26.04906
-24.76187,55.04083,98.43193
63.00188,-84.81379,-48.22392
-54.73223,-9.43069,14.23918
-16.55508,18.05442,25.51346
68.56702,44.86599,-4.24185
73.92655,-23.34403,11.3024
-35.99666,-47.48237,-7.06055
-40.65189,-33.66699,2.8256
-16.3679,13.11954,7.05596
28.87498,-27.84082,26.7086
-45.30481,59.03916,-11.22571
16.42982,35.26577,-7.03083
27.24567,4.69544,7.03083
-57.41465,5.0624,-8.43837
-19.30814,62.64042,-29.66407
9.38896,-47.85927,-21.31337
2.7576,16.2457,4.27105
-16.57193,-18.21115,-14.2532
-33.33478,-55.88511,18.52005
-16.20399,-3.90931,8.52115
-5.60163,-7.11344,-2.83853
16.22487,5.11984,18.41734
-34.76169,75.74933,-9.90733
50.36977,-14.33225,29.65443
-19.51889,-21.79249,-1.40753
-14.55675,-43.95348,-7.04452
-76.9484,-16.60265,7.04452
9.69344,-0.756,-5.6347
-0.57,-68.63913,-4.23083
-10.83669,6.41048,-4.23495
24.48661,6.43933,-4.23909
-11.94133,16.81981,8.47404
35.72593,-28.05651,2.82101
-29.46686,99.34822,-14.12341
-30.24069,-26.38975,-2.8302
9.7228,38.15875,1.41533
1.14243,16.02792,-4.24738
3.65376,-30.16206,-22.72311
49.70423,5.89169,2.8469
0,-32.29586,7.10909
-18.65748,50.33395,8.51558
-10.77866,2.35215,-11.35782
-27.35004,43.52674,-9.96252
-7.43704,-22.89744,-7.1301
-39.68814,6.2365,-24.33029
8.08205,45.20578,4.3035
9.79374,13.04959,-17.23963
13.2153,-18.44951,-1.43973
-20.70264,-60.0328,12.94042
0,4.65608,-12.94042
-60.36802,36.11016,8.63123
12.84032,-39.98367,17.21116
-9.91873,6.21828,0
8.753,-37.55652,2.86191
0.583,-22.84171,32.7771
8.15249,-0.792,1.41949
23.20885,8.67074,53.59987
14.4428,-41.20799,-35.18853
-10.39397,-32.36149,2.8256
59.14328,-32.60444,25.348
-14.28132,-33.66776,-36.66144
-10.8853,-10.98189,-9.9235
-33.39857,-40.62426,21.23694
97.73967,14.42063,18.32172
15.79665,-23.04873,-23.97475
9.00093,5.32072,14.11882
-24.23242,8.89271,2.81826
106.06691,75.98204,-18.35149
-30.43809,27.79901,7.06745
30.43809,-25.71369,-2.8256
-23.22436,34.41718,-25.51346
6.09458,-5.36573,-21.37631
-69.20285,-4.56609,-4.28792
-39.55865,-60.46194,-31.57475
-86.00172,-19.82103,2.87994
-11.59666,0,-10.08815
18.53981,-50.8224,11.5274
-88.77765,-42.58466,-21.63903
-1.18031,89.96429,-34.84829
31.75627,24.12016,11.64719
-7.03691,61.06419,-18.94258
8.79436,-16.99619,-58.80855
40.80649,14.84651,-11.85788
-58.41305,-2.11234,42.83163
2.93939,-29.79714,-28.01434
-2.11616,-23.54242,-16.30181
41.89556,38.06178,45.78559
1.74661,22.49389,27.8254
-35.6532,-8.90672,-23.42005
-19.4105,16.11086,-13.22949
-42.05845,-37.37643,10.29309
-139.72659,-7.692,11.73373
-185.23497,44.18771,-26.44562
73.15276,-27.54532,-10.32805
-63.54093,-71.22385,-7.39225
24.25519,-15.62043,-40.13703
48.73719,20.78869,-19.45834
63.73016,27.14959,-10.51379
-36.74941,23.5401,16.51026
-17.54981,-43.76916,-25.54239
55.53953,-34.20153,-19.63428
-102.90036,-6.1077,-31.90563
-89.81299,-18.7708,-19.86922
45.13866,-39.98452,-30.74664
41.4985,41.29122,-23.20368
31.02343,41.76509,-35.82152
-114.42079,27.6349,-10.96111
41.89886,-18.11678,-9.4173
49.11659,20.68761,-6.28957
-42.70634,74.62693,82.6065
