,test_begin,test_end,loss,accuracy,precision,recall,snfr,dsa_cov,dsa_mean,dsa_std,dsa_max,dsa_min,lsa_cov,lsa_mean,lsa_std,lsa_max,lsa_min,sharpe,drawdown,annual,lsa_win_pearson,dsa_win_pearson,lsa_win_spearman,dsa_win_spearman
0,2060,2310,0.730809163570404,0.46799999475479126,0.4840182648401826,0.8412698412698413,0.06451612903225806,100.0,3.8531718254089355,3.7139220237731934,30.758947372436523,0.5296675562858582,25.0,48175.95148213114,65327.41562749782,451577.1523537861,537.7978516873153,-1.3362703400000855,41.09030602318108,-35.12015409917276,0.01586754090872905,-0.10340184214441314,-0.0390445720185518,-0.1185777542810926
1,2085,2335,0.717780143737793,0.492000013589859,0.507177033492823,0.8153846153846154,0.06557377049180328,100.0,4.396458625793457,4.702883720397949,32.055091857910156,0.5296675562858582,25.0,60405.36872315438,90037.91194935763,621970.190808402,537.7978516873153,-0.48191077539106736,42.30452905661796,-18.32330770347766,0.10047276481626999,-0.045240714623191465,0.026109020786515606,-0.05936891987761829
2,2110,2360,0.7169595232009888,0.4880000054836273,0.4975845410628019,0.8110236220472441,0.04838709677419355,100.0,4.364895343780518,4.751480579376221,32.055091857910156,0.5296675562858582,25.0,60281.29840657854,90036.7204439377,621970.190808402,537.7978516873153,-0.4670033270206892,42.55430871856715,-19.097186338969642,0.1022092831132009,-0.018247513655860484,0.0322672666163326,-0.04878899419651664
3,2135,2385,0.7159442434310913,0.492000013589859,0.4975609756097561,0.8095238095238095,0.03076923076923077,90.0,4.457242012023926,4.736846923828125,32.055091857910156,0.7779541015625,5.0,61123.02026695101,89568.11551059182,621970.190808402,1825.0354802481982,-0.20117668901529526,42.072000000000074,-11.879490031323915,0.09927225430604014,-0.00942552926032783,0.030432807668358954,0.005266150689424592
4,2160,2410,0.7083834738731384,0.5239999890327454,0.507537688442211,0.8278688524590164,0.031746031746031744,90.0,4.747425079345703,4.885062217712402,32.055091857910156,0.7779541015625,5.0,65849.36726904253,96422.25482789056,621970.190808402,1825.0354802481982,0.4679898177936116,30.34806450113854,10.913137681645772,0.10443653362005652,0.04977516553113833,0.039564391839773,0.06853018782905983
5,2185,2435,0.7134222178459168,0.515999972820282,0.4975124378109453,0.8333333333333334,0.031746031746031744,90.0,4.716846942901611,4.880715847015381,32.055091857910156,0.7779541015625,5.0,66386.10946565111,96313.20757869595,621970.190808402,1825.0354802481982,0.3059381285443748,30.900917952115087,5.870925557286897,0.10462455736450885,0.05497896548127749,0.026784508629889077,0.07502989684521723
6,2210,2460,0.7129814367294312,0.5199999809265137,0.5024390243902439,0.8512396694214877,0.031746031746031744,90.0,4.5861077308654785,4.76303768157959,32.055091857910156,0.7779541015625,5.0,64652.905363670245,96946.23446739701,621970.190808402,1825.0354802481982,0.5413401574582825,30.759738118788576,13.290139417373787,0.10169127206248414,0.06174244549782459,0.02573829501203436,0.08542451361752783
7,2235,2485,0.7102953271865845,0.527999997138977,0.5048076923076923,0.875,0.015625,95.0,4.487066268920898,4.734884262084961,32.055091857910156,1.1883623600006104,5.0,65329.41438053815,96629.10243724074,621970.190808402,1825.0354802481982,0.5498667187973583,24.480390028225703,13.149889280395774,0.09542582959144033,0.09517574212904768,0.017875244691768023,0.12001950007329959
8,2260,2510,0.7025536270141601,0.5320000052452087,0.5145631067961165,0.8617886178861789,0.015873015873015872,95.0,4.5173468589782715,4.740377426147461,32.055091857910156,1.1883623600006104,5.0,60181.93933743942,96148.29314454673,621970.190808402,1825.0354802481982,0.9558351779476201,22.027351034543972,23.114010276393103,0.09946278124514636,0.07794984113363425,0.0387113324280663,0.06892505529875219
9,2285,2535,0.6995267815589905,0.5600000023841858,0.5497630331753555,0.8854961832061069,0.016129032258064516,95.0,4.289303779602051,4.5106353759765625,32.055091857910156,1.1883623600006104,5.0,54614.54104245225,96607.75065019194,621970.190808402,1825.0354802481982,0.8214594074867123,22.43499999999996,18.73773775385195,0.0846594566204511,0.061681891574816454,0.04723175637538881,0.028473044623461338
10,2310,2560,0.6811296844482422,0.5680000185966492,0.5598086124401914,0.8796992481203008,0.01639344262295082,95.0,4.1420369148254395,4.213770866394043,32.055091857910156,0.8182163834571838,5.0,38558.088373590705,81423.2420844151,621970.190808402,1618.6206915383536,2.2704022889226314,6.896352533421356,43.08224065872288,0.11724016402788848,0.08777581659618638,0.08649231726975136,0.024504291697381046
11,2335,2585,0.6898846130371094,0.5680000185966492,0.5616438356164384,0.9111111111111111,0.016129032258064516,95.0,3.6928186416625977,3.048595428466797,22.72487449645996,0.8182163834571838,5.0,24907.688507366827,47716.56778418385,440882.93236448953,1618.6206915383536,2.000471432452988,8.12147716229349,36.9442869625699,0.03979924946101803,0.08010937383208772,0.003580535773133303,-0.012419983463056146
12,2360,2610,0.6953645939826966,0.5600000023841858,0.5565610859728507,0.9111111111111111,0.01639344262295082,90.0,3.694223642349243,3.2577061653137207,22.72487449645996,0.8182163834571838,5.0,29004.62400151968,54833.17225103317,440882.93236448953,1618.6206915383536,1.9048607656682577,7.129697710730909,33.632128242761894,0.02608105131508043,0.04472406822217771,-0.03550756153043414,-0.016637190779983293
13,2385,2635,0.6987789835929871,0.5320000052452087,0.5321100917431193,0.8854961832061069,0.03389830508474576,90.0,3.6187100410461426,3.2382867336273193,22.72487449645996,0.8182163834571838,5.0,30198.582410398893,54611.56815002582,440882.93236448953,1618.6206915383536,1.3490317158576721,7.6984834968778,23.37753505171951,0.03060362920888197,0.0680700995495371,-0.06981369420671353,0.008608689420875575
