,test_begin,loss,accu,dsa_cov,dsa_mean,dsa_std,dsa_max,dsa_min,lsa_cov,lsa_mean,lsa_std,lsa_max,lsa_min,sharpe,drawdown,annual_return
0,10240,0.6918310689926147,0.5239999890327454,35.0,0.47781726717948914,0.28695011138916016,1.685144066810608,0.08982417732477188,5.0,-43.9373654540561,5.986016560978667,-17.01056484110957,-48.53493196995802,,1.958867766451896,-85.50235802497579
1,10490,0.6962476878166198,0.5040000081062317,50.0,0.5671622157096863,0.3925738036632538,3.174086093902588,0.12051298469305038,10.0,-38.367003303867136,22.36698564302281,90.98752249701118,-48.63538326870629,,2.780387375322458,-96.90280319194812
2,10740,0.6896649069786072,0.5519999861717224,45.0,0.5634394288063049,0.403043270111084,2.657468318939209,0.09788991510868073,5.0,-44.15624515524225,4.420050296810335,-29.85600481299629,-48.620116022637575,,2.0371479928100507,-97.81594610121377
3,10990,0.6929347977638245,0.492000013589859,30.0,0.46555042266845703,0.28556594252586365,1.5488543510437012,0.07409726828336716,5.0,-46.27837623089847,2.1098086854340514,-39.330786803189916,-48.650834976181955,,2.8870000000000293,-97.43681203929133
4,11240,0.6919797110557556,0.5320000052452087,40.0,0.5597764253616333,0.3377256393432617,2.75171160697937,0.07316777110099792,5.0,-46.128517760540994,2.315826878232721,-37.71765457829538,-48.609101221270485,,2.2842639593908047,-83.97224435948945
5,11490,0.6905896096229553,0.5440000295639038,45.0,0.5244912505149841,0.37541335821151733,2.823911666870117,0.08497514575719833,5.0,-45.44623402175974,2.913293088822251,-30.920575669148953,-48.56969997679901,,2.1821707751057513,-93.4918031436578
6,11740,0.6918142395019531,0.4959999918937683,35.0,0.5075084567070007,0.3007032573223114,1.7092056274414062,0.0859466940164566,5.0,-46.60976823944155,1.8791953983240026,-37.688758609760484,-48.62462710024865,,2.750999999999971,-96.85021462565288
7,11990,0.6907701935768128,0.5360000133514404,35.0,0.5504497289657593,0.37310880422592163,1.7849942445755005,0.0750410333275795,5.0,-46.17746498343541,1.9044539690255107,-38.703298610726826,-48.52256754450133,,3.547162270183824,-98.83197919130063
8,12240,0.6940381007194519,0.4959999918937683,50.0,0.5797141790390015,0.4313552677631378,2.899418830871582,0.12594856321811676,5.0,-44.607747373450024,4.830042396260179,-20.335459021978696,-48.503702312858614,,3.4221444638839995,-98.63048593059982
9,12490,0.6941028966903686,0.5080000162124634,35.0,0.5665497183799744,0.2962650656700134,1.9501157999038696,0.0795946717262268,5.0,-43.8802718573665,4.96520601345008,-19.66815785698148,-48.519532399496256,,3.6449999999999125,-95.41104310567825
10,12740,0.6938941597938537,0.48399999737739563,30.0,0.42385897040367126,0.2812560200691223,1.5409260988235474,0.0790407657623291,5.0,-45.86917308058903,2.2817034134233154,-37.103804741285835,-48.53250763268241,,3.0621426000719945,-97.80080401070931
11,12990,0.6926440587043762,0.4880000054836273,35.0,0.5243885517120361,0.3132944405078888,2.0307464599609375,0.12374501675367355,5.0,-45.097237341073445,4.705759087087286,-20.867633227118606,-48.65416917421597,,3.2830479161042865,-98.33278773489988
12,13240,0.6908710088729858,0.5519999861717224,30.0,0.44442376494407654,0.276918888092041,1.551367163658142,0.07928835600614548,5.0,-46.2357459382381,1.7222959005631977,-40.297670400640826,-48.512366630634396,,1.6378198398175476,-98.00816013636077
13,13490,0.6979603571891785,0.46399998664855957,40.0,0.5548328161239624,0.33414962887763977,2.0165066719055176,0.13254664838314056,20.0,-38.58223261966217,25.18695710602478,198.29832207873505,-48.6445730714591,,4.279999999999957,-99.08037081857671
14,13740,0.692251540184021,0.5,40.0,0.5033440589904785,0.34684091806411743,2.1559560298919678,0.1006924957036972,5.0,-45.38615838586251,3.5522107383854893,-29.804908603057456,-48.59549124545037,,2.8471274784150675,-95.20522643223104
15,13990,0.6918531665802002,0.5120000243186951,50.0,0.5518869757652283,0.4117796719074249,2.7319178581237793,0.11917800456285477,5.0,-40.390148604442814,12.82156329423519,20.53693351093139,-48.63124649895561,,2.118999999999971,-79.96985554457035
16,14240,0.6911790108680725,0.527999997138977,35.0,0.45241186022758484,0.314942866563797,1.8466517925262451,0.07787596434354782,5.0,-45.61505523278819,1.9558696725092257,-38.5310612102901,-48.501434321360456,,2.272,-92.05545483094463
17,14490,0.6963819856643677,0.47999998927116394,55.00000000000001,0.5260469913482666,0.47378459572792053,4.449737548828125,0.08127079904079437,10.0,-41.507257086307135,13.01308958057675,59.23179919060389,-48.584319631648384,,1.666183570050675,-86.11961291987423
18,14740,0.6918066053390503,0.5479999780654907,35.0,0.48756900429725647,0.3144335448741913,2.233419179916382,0.11075498163700104,5.0,-45.610845349445334,2.5089647027255557,-36.38149973807001,-48.55218791476235,,2.1319999999999273,-93.10365202097883
19,14990,0.6924994173049926,0.5239999890327454,35.0,0.5544047951698303,0.3406313359737396,1.8975223302841187,0.13697503507137299,5.0,-40.42480875958519,11.107140774198191,12.096242581435973,-48.58193533419136,,3.3968980930572807,-98.21838957379927
20,15240,0.6931464943885803,0.5080000162124634,35.0,0.597689151763916,0.3568371832370758,1.8493655920028687,0.0888272300362587,5.0,-40.846760660724364,11.799479866909829,32.81553894921135,-48.416103910843404,,3.2576249188838267,-98.10362015333997
21,15490,0.6933557305335999,0.527999997138977,35.0,0.5110888481140137,0.3312038481235504,1.7038325071334839,0.10642451792955399,5.0,-43.613783256403494,7.970459735137839,14.32821802094601,-48.58556839677647,,3.001469250682094,-90.99295896218649
22,15740,0.6934137296676636,0.46799999475479126,40.0,0.5036137104034424,0.36734822392463684,2.0735597610473633,0.08910757303237915,5.0,-44.86451483176598,3.6591090121033742,-21.514858551162966,-48.46634331511035,,2.8060000000001017,-96.69564160536956
23,15990,0.6934358701705933,0.5080000162124634,40.0,0.5328166484832764,0.3597484529018402,1.9902539253234863,0.0897127017378807,5.0,-44.98843346510434,2.589965631737288,-37.65758986666588,-48.62121243429493,,2.6314473960468736,-99.77711448261417
24,16240,0.6906360855102539,0.5640000104904175,50.0,0.5866652131080627,0.43893781304359436,3.461627244949341,0.11247402429580688,5.0,-44.680378998624086,2.841665409228342,-34.035764704217954,-48.25025758445334,,2.1140000000000145,-92.26708871695467
25,16490,0.6909767789840698,0.5559999942779541,35.0,0.45213085412979126,0.30299943685531616,1.751038908958435,0.09138887375593185,5.0,-45.91284254219761,2.5117689235701786,-35.842269574617504,-48.57895282994311,,2.0868021974734887,-81.08730924690592
26,16740,0.6953473310470581,0.47999998927116394,45.0,0.5149381160736084,0.3690893054008484,2.3164005279541016,0.09495413303375244,5.0,-45.52730365593421,2.026610385178664,-39.48289228989881,-48.50701450612045,,2.707000000000131,-87.91146116780641
27,16990,0.6932110199928284,0.5600000023841858,50.0,0.5936177372932434,0.439686119556427,4.05861234664917,0.09505409747362137,5.0,-43.132466091097996,6.700612050271612,-1.4945571335405177,-48.550610785506876,,2.3869447107701416,-94.40249575241847
28,17240,0.6911005759239197,0.527999997138977,35.0,0.4935057461261749,0.3167112171649933,1.8446755409240723,0.10531120747327805,5.0,-45.914525786281224,2.0171338370305323,-39.328700214615,-48.60275740118399,,2.56489647526506,-95.27282636620721
29,17490,0.6949437112808228,0.5,45.0,0.5253790616989136,0.3960014879703522,3.667886972427368,0.1399001181125641,5.0,-42.043259393877435,7.8099562795667765,0.0880783460979444,-48.581757304285475,,2.221999999999927,-90.29271069202744
