datetime,open,high,low,close,volume
02.01.2011 22:00:00.000,1419.1,1420.69,1419.078,1420.512,129682.0045
02.01.2011 23:00:00.000,1420.433,1420.539,1416.247,1416.247,297737.0024
03.01.2011 00:00:00.000,1416.862,1416.94,1413.903,1415.755,446052.0148
03.01.2011 01:00:00.000,1415.857,1416.688,1415.181,1415.727,376219.9879
03.01.2011 02:00:00.000,1415.722,1416.494,1415.083,1416.032,225329.9952
03.01.2011 03:00:00.000,1416.102,1417.937,1414.641,1416.546,250140.0113
03.01.2011 04:00:00.000,1416.545,1418.403,1415.22,1416.616,497299.999
03.01.2011 05:00:00.000,1416.651,1419.992,1416.571,1419.459,441666.007
03.01.2011 06:00:00.000,1419.446,1420.299,1418.072,1418.473,434920.013
03.01.2011 07:00:00.000,1418.523,1419.514,1417.823,1418.284,680739.9988
03.01.2011 08:00:00.000,1418.274,1419.376,1417.595,1419.344,765779.9721
03.01.2011 09:00:00.000,1419.349,1419.565,1418,1419.306,687286.0193
03.01.2011 10:00:00.000,1419.321,1420.975,1419.13,1419.679,603824.9731
03.01.2011 11:00:00.000,1419.681,1420.272,1418.973,1420.017,441049.993
03.01.2011 12:00:00.000,1420.057,1423.071,1419.406,1422.601,739250.0043
03.01.2011 13:00:00.000,1422.615,1423.774,1417.04,1419.74,1808274.984
03.01.2011 14:00:00.000,1419.732,1423.624,1418.027,1421.222,1648421.049
03.01.2011 15:00:00.000,1421.298,1421.934,1415.461,1418.414,2633660.078
03.01.2011 16:00:00.000,1418.419,1420.368,1417.245,1417.925,1337947.965
03.01.2011 17:00:00.000,1417.971,1420.939,1417.032,1419.7,914303.0047
03.01.2011 18:00:00.000,1419.753,1422.585,1419.723,1419.932,866289.9733
03.01.2011 19:00:00.000,1419.94,1419.94,1414.917,1415.361,1048120.022
03.01.2011 20:00:00.000,1415.336,1415.857,1412.631,1413.261,817950.0103
03.01.2011 21:00:00.000,1413.358,1414.496,1413.113,1414.177,257090.0023
03.01.2011 22:00:00.000,1414.195,1414.788,1413.484,1413.484,152656.0038
03.01.2011 23:00:00.000,1413.495,1416.559,1413.391,1414.592,155894.9947
04.01.2011 00:00:00.000,1414.745,1417.192,1414.745,1415.887,270660.013
04.01.2011 01:00:00.000,1415.876,1415.959,1413.508,1414.409,353309.989
04.01.2011 02:00:00.000,1414.396,1414.806,1413.891,1414.727,266169.9951
04.01.2011 03:00:00.000,1414.753,1416.819,1414.3,1416.011,292670.0115
04.01.2011 04:00:00.000,1416.133,1416.904,1415.576,1415.884,381460.011
04.01.2011 05:00:00.000,1415.927,1417.126,1415.89,1416.632,340440.0051
04.01.2011 06:00:00.000,1416.623,1416.693,1413.93,1414.554,283491.9989
