,sample_len,p1,p2,epoch,batch_size,train_loss,train_acc,test_loss,test_acc,wtl
0,6,48,48,30,100,0.687023036,0.535999993,0.702777186,0.520666679,1.026774531
1,6,48,48,30,200,0.688512024,0.541555544,0.698548694,0.524666647,1.03332691
2,6,48,48,60,100,0.671245748,0.563999991,0.754555684,0.526666681,1.006017369
3,6,48,48,60,200,0.684013732,0.535777767,0.715390591,0.521333317,1.023309933
4,6,48,96,30,100,0.686682778,0.536222219,0.70066252,0.525333345,1.011664084
5,6,48,96,30,200,0.687990783,0.533999999,0.69739648,0.530666669,1.012805227
6,6,48,96,60,100,0.663024269,0.581111113,0.788689033,0.514666677,0.981135882
7,6,48,96,60,200,0.683457893,0.542444448,0.718073036,0.510666668,1.028803299
8,6,48,192,30,100,0.686000967,0.541555564,0.700438971,0.523333311,1.023211781
9,6,48,192,30,200,0.687820529,0.536888878,0.697994198,0.524666667,0.982757127
10,6,48,192,60,100,0.662266157,0.583777765,0.801391682,0.51,1.002374514
11,6,48,192,60,200,0.679682592,0.54844445,0.746366222,0.50333334,1.031605201
12,6,96,48,30,100,0.685086446,0.536888897,0.706884078,0.517333329,1.071566751
13,6,96,48,30,200,0.687530407,0.538222233,0.700043403,0.526666661,1.028522587
14,6,96,48,60,100,0.651154896,0.592888872,0.784735766,0.53733333,0.972217208
15,6,96,48,60,200,0.675666972,0.557777762,0.743963404,0.528666675,1.029489224
16,6,96,96,30,100,0.684788452,0.538222214,0.707108373,0.520000001,1.042347639
17,6,96,96,30,200,0.687286127,0.541111112,0.698183165,0.533333341,1.032126802
18,6,96,96,60,100,0.646936326,0.59244446,0.81439072,0.530666649,0.98552818
19,6,96,96,60,200,0.673810447,0.552000006,0.766193198,0.521999975,1.017202196
20,6,96,192,30,100,0.686151401,0.535111109,0.705963896,0.536666671,1.020932409
21,6,96,192,30,200,0.68710728,0.535333316,0.699921269,0.527999997,0.990513097
22,6,96,192,60,100,0.654130783,0.588444451,0.791949603,0.512666643,0.960663889
23,6,96,192,60,200,0.674259951,0.563777785,0.761719931,0.517999987,0.974630913
24,6,192,48,30,100,0.682887852,0.547555566,0.70670352,0.527333319,1.111611876
25,6,192,48,30,200,0.686245896,0.535111109,0.700083612,0.528666675,1.045439024
26,6,192,48,60,100,0.614447996,0.634222209,0.869069501,0.521999995,0.901578153
27,6,192,48,60,200,0.659993699,0.577333331,0.79646784,0.530000011,0.959581677
28,6,192,96,30,100,0.684542965,0.542666674,0.70445647,0.541333338,1.102761814
29,6,192,96,30,200,0.686421466,0.539333344,0.698001546,0.535333355,1.0227727
30,6,192,96,60,100,0.633678746,0.622222225,0.843505693,0.527333319,0.969989858
31,6,192,96,60,200,0.665688993,0.575555543,0.774109548,0.529999991,0.928267724
32,6,192,192,30,100,0.684232302,0.53955555,0.703667505,0.539333324,1.021307864
33,6,192,192,30,200,0.686222834,0.539777776,0.701321576,0.528666655,1.019144836
34,6,192,192,60,100,0.642201889,0.61133333,0.815588548,0.507999996,0.935153575
35,6,192,192,60,200,0.668083429,0.575777769,0.778140159,0.519333343,0.945501625
