,sample_len,p1,p2,epochs,batch_size,train_len,test_len,weighted,fit_window,train_begin,test_loss,test_acc,precision,recall,f1,cm00,cm01,cm10,cm11,win_profit,lose_profit,wtl,sharpe,dd,ar,pre_acc_1,pre_pre_1,pre_rec_1,pre_f1_1,pre_cm00_1,pre_cm01_1,pre_cm10_1,pre_cm11_1,after_acc_1,after_pre_1,after_rec_1,after_f1_1,after_cm00_1,after_cm01_1,after_cm10_1,after_cm11_1,pre_adj_1,pre_dd_1,pre_ar_1,after_adj_1,after_dd_1,after_ar_1,adj_acc_1,adj_pre_1,adj_rec_1,adj_f1_1,adj_cm00_1,adj_cm01_1,adj_cm10_1,adj_cm11_1,win_profit_1,lose_profit_1,pre_wtl_1,adj_win_profit_1,adj_lose_profit_1,adj_wtl,pre_acc_2,pre_pre_2,pre_rec_2,pre_f1_2,pre_cm00_2,pre_cm01_2,pre_cm10_2,pre_cm11_2,after_acc_2,after_pre_2,after_rec_2,after_f1_2,after_cm00_2,after_cm01_2,after_cm10_2,after_cm11_2,pre_adj_2,pre_dd_2,pre_ar_2,after_adj_2,after_dd_2,after_ar_2,adj_acc_2,adj_pre_2,adj_rec_2,adj_f1_2,adj_cm00_2,adj_cm01_2,adj_cm10_2,adj_cm11_2,win_profit_2,lose_profit_2,pre_wtl_2,adj_win_profit_2,adj_lose_profit_2,adj_wtl_2,pre_acc_3,pre_pre_3,pre_rec_3,pre_f1_3,pre_cm00_3,pre_cm01_3,pre_cm10_3,pre_cm11_3,after_acc_3,after_pre_3,after_rec_3,after_f1_3,after_cm00_3,after_cm01_3,after_cm10_3,after_cm11_3,pre_adj_3,pre_dd_3,pre_ar_3,after_adj_3,after_dd_3,after_ar_3,adj_acc_3,adj_pre_3,adj_rec_3,adj_f1_3,adj_cm00_3,adj_cm01_3,adj_cm10_3,adj_cm11_3,win_profit_3,lose_profit_3,pre_wtl_3,adj_win_profit_3,adj_lose_profit_3,adj_wtl_3
0,60,96,48,60,200,1500,500,True,100,60,0.6976771774291992,0.5320000052452087,0.5771812080536913,0.6142857142857143,0.5951557093425606,94,126,108,172,2.3860316905313885,-2.4259281241400883,0.9835541567733621,-0.11541902896936751,23.300745329590526,-1.7570159351637513,0.5475,0.5833333333333334,0.6591928251121076,0.6189473684210527,72,105,76,147,0.5225,0.5655737704918032,0.6188340807174888,0.5910064239828693,71,106,85,138,0.9185942288015895,9.228900493851219,11.606954322901046,-0.843331952959187,21.210777837871365,-9.320712344872687,0.5225,0.421875,0.14917127071823205,0.22040816326530613,182,37,154,27,0.008085278951471226,-0.00891608159523607,0.9068197576602767,0.005369558817333565,-0.005054306131875629,1.06237308885383,0.5475,0.5833333333333334,0.6591928251121076,0.6189473684210527,72,105,76,147,0.53,0.5726141078838174,0.6188340807174888,0.5948275862068966,74,103,85,138,0.9185942288015895,9.228900493851219,11.606954322901046,-0.370575537892197,16.363249039152933,-3.7870810579688197,0.53,0.4606741573033708,0.2265193370165746,0.3037037037037037,171,48,140,41,0.008085278951471226,-0.00891608159523607,0.9068197576602767,0.0040006545233135056,-0.0036769863686595384,1.088025388783794,0.5475,0.5833333333333334,0.6591928251121076,0.6189473684210527,72,105,76,147,0.5125,0.5630630630630631,0.5605381165919282,0.5617977528089888,80,97,98,125,0.9185942288015895,9.228900493851219,11.606954322901046,-0.6227003236239588,22.176314849253725,-7.096511520823369,0.5125,0.4681818181818182,0.569060773480663,0.513715710723192,102,117,78,103,0.008085278951471226,-0.00891608159523607,0.9068197576602767,-0.00028072953856286495,0.0010995634719992682,0.25530998956561535
1,60,96,48,60,200,1500,500,True,100,560,0.7149303727149964,0.5059999823570251,0.5185185185185185,0.7509578544061303,0.6134585289514867,57,182,65,196,2.898519507635161,-3.0935261229030653,0.9369629970717998,-0.21415123312952808,35.75500000000001,-8.51795163636109,0.5,0.5101351351351351,0.7330097087378641,0.601593625498008,49,145,55,151,0.4625,0.4782608695652174,0.48058252427184467,0.4794188861985472,86,108,107,99,0.1475882047302371,17.73782649296016,2.0213696665260783,-0.6376485566528153,33.99257509281131,-14.225278126293675,0.4625,0.45454545454545453,0.375,0.410958904109589,110,90,125,75,0.011667367718448386,-0.012452664509869144,0.9369374489452932,-0.00021876797477492042,-0.0005422664323292637,0.40343263335556184,0.5,0.5101351351351351,0.7330097087378641,0.601593625498008,49,145,55,151,0.45,0.46534653465346537,0.4563106796116505,0.4607843137254902,86,108,112,94,0.1475882047302371,17.73782649296016,2.0213696665260783,-1.2758186259113564,33.014410351926315,-24.227751759194753,0.45,0.4418604651162791,0.38,0.40860215053763443,104,96,124,76,0.011667367718448386,-0.012452664509869144,0.9369374489452932,0.0012333874574305644,-0.0017230413664620617,0.7158199921590341,0.5,0.5101351351351351,0.7330097087378641,0.601593625498008,49,145,55,151,0.5225,0.5373134328358209,0.5242718446601942,0.5307125307125308,101,93,98,108,0.1475882047302371,17.73782649296016,2.0213696665260783,0.041507982065381956,18.519238414984255,0.030239129209237627,0.5225,0.5221674876847291,0.53,0.5260545905707196,103,97,94,106,0.011667367718448386,-0.012452664509869144,0.9369374489452932,0.0018147906088612083,-0.002808118301236359,0.6462657246534778
2,60,96,48,60,200,1500,500,True,100,1060,0.695509723186493,0.5339999794960022,0.5783475783475783,0.7048611111111112,0.6353677621283256,64,148,85,203,2.079498565488148,-2.1156665353719415,0.9829046925500312,-0.1642697387013479,31.813673737082922,-6.188639365755622,0.535,0.5812274368231047,0.696969696969697,0.6338582677165355,53,116,70,161,0.5175,0.5725190839694656,0.6493506493506493,0.6085192697768763,57,112,81,150,-0.016696196383651093,29.83766915713987,-3.0539567539961,-0.5714307319006826,35.101219576766326,-20.25071653298636,0.5175,0.3870967741935484,0.06451612903225806,0.11059907834101382,195,19,174,12,0.007920122246097783,-0.00906078588662467,0.8741098559440954,0.0070200593221542585,-0.0074795455644206974,0.9385676257589552,0.535,0.5812274368231047,0.696969696969697,0.6338582677165355,53,116,70,161,0.505,0.5739910313901345,0.5541125541125541,0.5638766519823788,74,95,103,128,-0.016696196383651093,29.83766915713987,-3.0539567539961,-1.0610793196052564,41.15168282002891,-30.789572612240406,0.505,0.44545454545454544,0.26344086021505375,0.3310810810810811,153,61,137,49,0.007920122246097783,-0.00906078588662467,0.8741098559440954,0.0039100876653513725,-0.003940594558829497,0.9922583018824483,0.535,0.5812274368231047,0.696969696969697,0.6338582677165355,53,116,70,161,0.48,0.5688622754491018,0.41125541125541126,0.47738693467336685,97,72,136,95,-0.016696196383651093,29.83766915713987,-3.0539567539961,-0.3344848977838174,38.9156872070114,-16.142573573217934,0.48,0.46540880503144655,0.7956989247311828,0.5873015873015872,44,170,38,148,0.007920122246097783,-0.00906078588662467,0.8741098559440954,-0.0038787049298472007,0.0036264967898240355,1.069545943272544
3,60,96,48,60,200,1500,500,True,100,1560,0.7056883153915405,0.492000013589859,0.4918032786885246,0.975609756097561,0.6539509536784741,6,248,6,240,1.8161410792388102,-2.0470184070854325,0.8872128716344334,-0.43696422009661834,49.74595647387595,-16.396752901583337,0.4875,0.4859335038363171,0.979381443298969,0.6495726495726496,5,201,4,190,0.465,0.4431818181818182,0.4020618556701031,0.42162162162162165,108,98,116,78,-0.9379001497494374,57.28425158459295,-39.89171409453879,0.34971386836047147,19.72826563908639,7.1576408339970286,0.465,0.48034934497816595,0.5365853658536586,0.5069124423963134,76,119,95,110,0.007474569286258396,-0.008270393527640075,0.9037743199616809,-0.003011343267481058,0.0015057018009609756,1.9999599293559622,0.4875,0.4859335038363171,0.979381443298969,0.6495726495726496,5,201,4,190,0.475,0.46153846153846156,0.4948453608247423,0.4776119402985075,94,112,98,96,-0.9379001497494374,57.28425158459295,-39.89171409453879,-0.26060243326868826,22.644443451449938,-8.481908320975485,0.475,0.48743718592964824,0.47317073170731705,0.4801980198019802,93,102,108,97,0.007474569286258396,-0.008270393527640075,0.9037743199616809,-0.0012229197535974829,-2.635671029669646e-05,46.398800906149624,0.4875,0.4859335038363171,0.979381443298969,0.6495726495726496,5,201,4,190,0.5175,0.5018050541516246,0.7164948453608248,0.5902335456475584,68,138,55,139,-0.9379001497494374,57.28425158459295,-39.89171409453879,-0.3923886168759397,41.01413944417357,-17.90861874791474,0.5175,0.546875,0.34146341463414637,0.42042042042042044,137,58,135,70,0.007474569286258396,-0.008270393527640075,0.9037743199616809,0.002300674857835155,-0.0037001521135632386,0.6217784532159706
4,60,96,48,60,200,1500,500,True,100,2060,0.7047194809913635,0.47600001096725464,0.48247978436657685,0.7188755020080321,0.5774193548387098,59,192,70,179,1.4637263255743314,-1.57314127419738,0.9304481101489932,-0.4213323645743332,36.98695950583387,-8.076131011215255,0.46,0.4612794612794613,0.7098445595854922,0.5591836734693877,47,160,56,137,0.5075,0.4876543209876543,0.40932642487046633,0.4450704225352113,124,83,114,79,-0.4402731643543386,23.537693711888764,-8.545130810588722,0.18470687938903407,12.748707272281,2.7037679351069484,0.5075,0.5307443365695793,0.7592592592592593,0.6247619047619047,39,145,52,164,0.005872893328021236,-0.005576018678193556,1.0532413298737113,-0.0038943585201826622,0.0033845031343308607,1.1506440873639798,0.46,0.4612794612794613,0.7098445595854922,0.5591836734693877,47,160,56,137,0.5525,0.5406976744186046,0.48186528497409326,0.5095890410958904,128,79,100,93,-0.4402731643543386,23.537693711888764,-8.545130810588722,0.8081616533375782,10.522751364296706,12.62036114737803,0.5525,0.5742971887550201,0.6620370370370371,0.6150537634408602,78,106,73,143,0.005872893328021236,-0.005576018678193556,1.0532413298737113,-0.0015730613167107398,0.001250496585805434,1.257949309551729,0.46,0.4612794612794613,0.7098445595854922,0.5591836734693877,47,160,56,137,0.49,0.47577092511013214,0.5595854922279793,0.5142857142857142,88,119,85,108,-0.4402731643543386,23.537693711888764,-8.545130810588722,-0.07751836384347263,19.193820200689498,-1.1874271671742638,0.49,0.5267857142857143,0.5462962962962963,0.5363636363636363,78,106,98,118,0.005872893328021236,-0.005576018678193556,1.0532413298737113,-0.0006448031280550744,1.2616426298498832e-05,51.10822294676238
5,60,96,48,60,200,1500,500,True,100,2560,0.6957037630081176,0.5040000081062317,0.5076923076923077,0.9058823529411765,0.6507042253521127,21,224,24,231,1.6163617461273976,-1.5174903948503395,1.0651545153844675,0.13731467363392336,24.04668590378574,1.937058694487311,0.505,0.511049723756906,0.8980582524271845,0.6514084507042253,17,177,21,185,0.4925,0.5055350553505535,0.6650485436893204,0.5744234800838575,60,134,69,137,-0.409651184170233,26.640900849317728,-6.275156178725356,0.6170493939882633,14.402659882622665,8.438667920698547,0.4925,0.47368421052631576,0.22727272727272727,0.30716723549488056,152,50,153,45,0.005988132625055305,-0.005837848295871283,1.0257431028638253,0.003253985916937045,-0.002893233487477539,1.1246883222598212,0.505,0.511049723756906,0.8980582524271845,0.6514084507042253,17,177,21,185,0.51,0.5219298245614035,0.5776699029126213,0.5483870967741935,85,109,87,119,-0.409651184170233,26.640900849317728,-6.275156178725356,-0.07300328602192804,13.248454051226526,-0.7313103559372548,0.51,0.506578947368421,0.3888888888888889,0.44,127,75,121,77,0.005988132625055305,-0.005837848295871283,1.0257431028638253,0.0010169153058079503,-0.0007843974219702265,1.296428669096964,0.505,0.511049723756906,0.8980582524271845,0.6514084507042253,17,177,21,185,0.5075,0.5205479452054794,0.5533980582524272,0.536470588235294,89,105,92,114,-0.409651184170233,26.640900849317728,-6.275156178725356,-1.8660103128520382,35.511000000000216,-26.60117301500317,0.5075,0.5024390243902439,0.5202020202020202,0.5111662531017369,100,102,95,103,0.005988132625055305,-0.005837848295871283,1.0257431028638253,9.913377517473093e-06,0.00026241833524167735,0.03777700025550138
6,60,96,48,60,200,1500,500,True,100,3060,0.6950376119613647,0.515999972820282,0.5460992907801419,0.5746268656716418,0.56,104,128,114,154,1.2434864653873952,-1.1961812729153403,1.03954684255904,-0.2772817148772363,14.705936765766957,-3.2279935624167333,0.52,0.5398230088495575,0.580952380952381,0.5596330275229359,86,104,88,122,0.5,0.5219298245614035,0.5666666666666667,0.5433789954337899,81,109,91,119,-0.7637340182866439,15.506764335807604,-10.083844415432749,-1.1097582502285337,30.42744263637904,-16.020979923791074,0.5,0.4473684210526316,0.17708333333333334,0.2537313432835821,166,42,158,34,0.0046525459820589594,-0.005134588134200105,0.906118633171297,0.002494126528775116,-0.002584683316265899,0.964964068549175,0.52,0.5398230088495575,0.580952380952381,0.5596330275229359,86,104,88,122,0.5275,0.5507246376811594,0.5428571428571428,0.5467625899280575,97,93,96,114,-0.7637340182866439,15.506764335807604,-10.083844415432749,-0.9962914058864019,29.259185303514236,-14.830259924266603,0.5275,0.5102040816326531,0.390625,0.4424778761061947,136,72,117,75,0.0046525459820589594,-0.005134588134200105,0.906118633171297,0.0005091868215336576,-0.0006642845335542772,0.7665191583028979,0.52,0.5398230088495575,0.580952380952381,0.5596330275229359,86,104,88,122,0.49,0.514018691588785,0.5238095238095238,0.5188679245283019,86,104,100,110,-0.7637340182866439,15.506764335807604,-10.083844415432749,-2.026601191035749,34.429824561403336,-26.190654912664925,0.49,0.46938775510204084,0.4791666666666667,0.4742268041237114,104,104,100,92,0.0046525459820589594,-0.005134588134200105,0.906118633171297,0.0006083605091205025,-0.0006732843984596819,0.9035713741656421
7,60,96,48,60,200,1500,500,False,100,60,0.6976771774291992,0.5320000052452087,0.5771812080536913,0.6142857142857143,0.5951557093425606,94,126,108,172,2.3860316905313885,-2.4259281241400883,0.9835541567733621,-0.11541902896936751,23.300745329590526,-1.7570159351637513,0.5475,0.5833333333333334,0.6591928251121076,0.6189473684210527,72,105,76,147,0.5225,0.5655737704918032,0.6188340807174888,0.5910064239828693,71,106,85,138,0.9185942288015895,9.228900493851219,11.606954322901046,-0.843331952959187,21.210777837871365,-9.320712344872687,0.5225,0.421875,0.14917127071823205,0.22040816326530613,182,37,154,27,0.008085278951471226,-0.00891608159523607,0.9068197576602767,0.005369558817333565,-0.005054306131875629,1.06237308885383,0.5475,0.5833333333333334,0.6591928251121076,0.6189473684210527,72,105,76,147,0.515,0.5633187772925764,0.57847533632287,0.5707964601769911,77,100,94,129,0.9185942288015895,9.228900493851219,11.606954322901046,-1.6759673210063308,24.812349525562972,-17.22450323861865,0.515,0.44715447154471544,0.30386740331491713,0.3618421052631579,151,68,126,55,0.008085278951471226,-0.00891608159523607,0.9068197576602767,0.0033353362107233866,-0.0027330615349203486,1.220366306469053,0.5475,0.5833333333333334,0.6591928251121076,0.6189473684210527,72,105,76,147,0.5125,0.5630630630630631,0.5605381165919282,0.5617977528089888,80,97,98,125,0.9185942288015895,9.228900493851219,11.606954322901046,-0.6227003236239588,22.176314849253725,-7.096511520823369,0.5125,0.4681818181818182,0.569060773480663,0.513715710723192,102,117,78,103,0.008085278951471226,-0.00891608159523607,0.9068197576602767,-0.00028072953856286495,0.0010995634719992682,0.25530998956561535
8,60,96,48,60,200,1500,500,False,100,560,0.7149303727149964,0.5059999823570251,0.5185185185185185,0.7509578544061303,0.6134585289514867,57,182,65,196,2.898519507635161,-3.0935261229030653,0.9369629970717998,-0.21415123312952808,35.75500000000001,-8.51795163636109,0.5,0.5101351351351351,0.7330097087378641,0.601593625498008,49,145,55,151,0.4625,0.4782608695652174,0.48058252427184467,0.4794188861985472,86,108,107,99,0.1475882047302371,17.73782649296016,2.0213696665260783,-0.6376485566528153,33.99257509281131,-14.225278126293675,0.4625,0.45454545454545453,0.375,0.410958904109589,110,90,125,75,0.011667367718448386,-0.012452664509869144,0.9369374489452932,-0.00021876797477492042,-0.0005422664323292637,0.40343263335556184,0.5,0.5101351351351351,0.7330097087378641,0.601593625498008,49,145,55,151,0.45,0.46464646464646464,0.44660194174757284,0.4554455445544554,88,106,114,92,0.1475882047302371,17.73782649296016,2.0213696665260783,-1.4492161931449616,37.233859067476615,-27.733482525476926,0.45,0.4444444444444444,0.4,0.4210526315789474,100,100,120,80,0.011667367718448386,-0.012452664509869144,0.9369374489452932,0.0013156684974484634,-0.001790362217385797,0.7348616300502258,0.5,0.5101351351351351,0.7330097087378641,0.601593625498008,49,145,55,151,0.5225,0.5373134328358209,0.5242718446601942,0.5307125307125308,101,93,98,108,0.1475882047302371,17.73782649296016,2.0213696665260783,0.041507982065381956,18.519238414984255,0.030239129209237627,0.5225,0.5221674876847291,0.53,0.5260545905707196,103,97,94,106,0.011667367718448386,-0.012452664509869144,0.9369374489452932,0.0018147906088612083,-0.002808118301236359,0.6462657246534778
9,60,96,48,60,200,1500,500,False,100,1060,0.695509723186493,0.5339999794960022,0.5783475783475783,0.7048611111111112,0.6353677621283256,64,148,85,203,2.079498565488148,-2.1156665353719415,0.9829046925500312,-0.1642697387013479,31.813673737082922,-6.188639365755622,0.535,0.5812274368231047,0.696969696969697,0.6338582677165355,53,116,70,161,0.5175,0.5725190839694656,0.6493506493506493,0.6085192697768763,57,112,81,150,-0.016696196383651093,29.83766915713987,-3.0539567539961,-0.5714307319006826,35.101219576766326,-20.25071653298636,0.5175,0.3870967741935484,0.06451612903225806,0.11059907834101382,195,19,174,12,0.007920122246097783,-0.00906078588662467,0.8741098559440954,0.0070200593221542585,-0.0074795455644206974,0.9385676257589552,0.535,0.5812274368231047,0.696969696969697,0.6338582677165355,53,116,70,161,0.4925,0.5721649484536082,0.4805194805194805,0.5223529411764706,86,83,120,111,-0.016696196383651093,29.83766915713987,-3.0539567539961,-1.54627452868138,58.02153927876837,-44.02304215635903,0.4925,0.4444444444444444,0.3655913978494624,0.40117994100294985,129,85,118,68,0.007920122246097783,-0.00906078588662467,0.8741098559440954,0.001907586077663859,-0.0018039136529411001,1.0574708354547522,0.535,0.5812274368231047,0.696969696969697,0.6338582677165355,53,116,70,161,0.48,0.5688622754491018,0.41125541125541126,0.47738693467336685,97,72,136,95,-0.016696196383651093,29.83766915713987,-3.0539567539961,-0.3344848977838174,38.9156872070114,-16.142573573217934,0.48,0.46540880503144655,0.7956989247311828,0.5873015873015872,44,170,38,148,0.007920122246097783,-0.00906078588662467,0.8741098559440954,-0.0038787049298472007,0.0036264967898240355,1.069545943272544
