,sample_len,p1,p2,train_loss,train_acc,test_loss,test_acc,epoch,batch_size
0,6,24,24,0.6902843132019043,0.5326666831970215,0.6956067590713501,0.503000020980835,30,50
1,6,24,24,0.690178024927775,0.5326666831970215,0.6964556922912598,0.5015000104904175,30,100
2,6,24,24,0.6902347838083903,0.5316666960716248,0.6963545594215393,0.5074999928474426,30,200
3,6,24,24,0.6903109726905823,0.5316666960716248,0.6954858512878418,0.5034999847412109,60,50
4,6,24,24,0.6900794720649719,0.5366666913032532,0.6965615048408508,0.5024999976158142,60,100
5,6,24,24,0.6903138593037923,0.5320000052452087,0.6963128070831299,0.5024999976158142,60,200
6,6,24,48,0.6901641478538513,0.534333348274231,0.6955360732078553,0.503000020980835,30,50
7,6,24,48,0.6901280600229899,0.5333333611488342,0.6964672927856446,0.5024999976158142,30,100
8,6,24,48,0.6901975830396017,0.5329999923706055,0.695710675239563,0.5005000233650208,30,200
9,6,24,48,0.6823214359283447,0.5569999814033508,0.6982795276641846,0.5034999847412109,60,50
10,6,24,48,0.6901336700121562,0.5339999794960022,0.6954737882614136,0.5034999847412109,60,100
11,6,24,48,0.6902906937599183,0.5323333144187927,0.6956631498336792,0.5034999847412109,60,200
12,6,24,96,0.690266108194987,0.5336666703224182,0.695524775505066,0.5034999847412109,30,50
13,6,24,96,0.6901596020062765,0.5336666703224182,0.6953867931365967,0.5034999847412109,30,100
14,6,24,96,0.6902286626497904,0.5350000262260437,0.6954332990646362,0.5044999718666077,30,200
15,6,24,96,0.6825096004803975,0.5443333387374878,0.6973768410682678,0.5070000290870667,60,50
16,6,24,96,0.6901201992034912,0.5326666831970215,0.6958697090148925,0.503000020980835,60,100
17,6,24,96,0.6901518034934998,0.5350000262260437,0.695988890171051,0.5040000081062317,60,200
18,6,24,192,0.6893091309865316,0.5360000133514404,0.6963056206703186,0.5055000185966492,30,50
19,6,24,192,0.6902468218803406,0.5326666831970215,0.6966268825531006,0.5044999718666077,30,100
20,6,24,192,0.6901781296730042,0.5320000052452087,0.6966416425704957,0.5005000233650208,30,200
21,6,24,192,0.678502606232961,0.5563333630561829,0.699913155078888,0.5074999928474426,60,50
22,6,24,192,0.6815677202542623,0.54666668176651,0.7004328804016113,0.5049999952316284,60,100
23,6,24,192,0.6902749228477478,0.5336666703224182,0.6950878705978394,0.49950000643730164,60,200
24,6,48,24,0.6898140595753988,0.5360000133514404,0.6952213764190673,0.5019999742507935,30,50
25,6,48,24,0.6900367209116618,0.5339999794960022,0.6955708484649659,0.503000020980835,30,100
26,6,48,24,0.6901430106163025,0.534333348274231,0.696577600479126,0.5009999871253967,30,200
27,6,48,24,0.6893288849194844,0.5366666913032532,0.6969617352485656,0.503000020980835,60,50
28,6,48,24,0.686158565680186,0.550000011920929,0.6963867607116699,0.5055000185966492,60,100
29,6,48,24,0.6901989305814107,0.5336666703224182,0.6965981969833374,0.5034999847412109,60,200
