,sample_len,p1,p2,epochs,batch_size,train_len,test_len,weighted,fit_window,train_begin,test_loss,test_acc,precision,recall,f1,cm00,cm01,cm10,cm11,win_profit,lose_profit,wtl,sharpe,dd,ar,pre_acc_1,pre_pre_1,pre_rec_1,pre_f1_1,pre_cm00_1,pre_cm01_1,pre_cm10_1,pre_cm11_1,after_acc_1,after_pre_1,after_rec_1,after_f1_1,after_cm00_1,after_cm01_1,after_cm10_1,after_cm11_1,pre_adj_1,pre_dd_1,pre_ar_1,after_adj_1,after_dd_1,after_ar_1,adj_acc_1,adj_pre_1,adj_rec_1,adj_f1_1,adj_cm00_1,adj_cm01_1,adj_cm10_1,adj_cm11_1,win_profit_1,lose_profit_1,pre_wtl_1,adj_win_profit_1,adj_lose_profit_1,adj_wtl,after_acc_2,after_pre_2,after_rec_2,after_f1_2,after_cm00_2,after_cm01_2,after_cm10_2,after_cm11_2,pre_adj_2,pre_dd_2,pre_ar_2,after_adj_2,after_dd_2,after_ar_2,adj_acc_2,adj_pre_2,adj_rec_2,adj_f1_2,adj_cm00_2,adj_cm01_2,adj_cm10_2,adj_cm11_2,win_profit_2,lose_profit_2,pre_wtl_2,adj_win_profit_2,adj_lose_profit_2,adj_wtl_2,after_acc_3,after_pre_3,after_rec_3,after_f1_3,after_cm00_3,after_cm01_3,after_cm10_3,after_cm11_3,pre_adj_3,pre_dd_3,pre_ar_3,after_adj_3,after_dd_3,after_ar_3,adj_acc_3,adj_pre_3,adj_rec_3,adj_f1_3,adj_cm00_3,adj_cm01_3,adj_cm10_3,adj_cm11_3,win_profit_3,lose_profit_3,pre_wtl_3,adj_win_profit_3,adj_lose_profit_3,adj_wtl_3
127,60,192,48,30,200,1500,500,TRUE,100,560,0.716713644,0.508000016,0.519685039,0.75862069,0.61682243,56,183,63,198,2.949604133,-3.042441498,0.9694859,-0.012015544,43.7134422,-3.107822117,0.5125,0.517799353,0.776699029,0.621359223,45,149,46,160,0.49,0.504587156,0.533980583,0.518867925,86,108,96,110,1.271020912,9.277104053,23.37301826,-0.949898961,47.46976387,-23.35375197,0.49,0.474860335,0.435897436,0.454545455,111,94,110,85,0.011507529,-0.012640836,0.910345536,-0.00246061,0.001844901,1.333735223,0.495,0.509708738,0.509708738,0.509708738,93,101,101,105,1.271020912,9.277104053,23.37301826,-0.602861061,29.31470393,-12.09653435,0.495,0.480446927,0.441025641,0.459893048,112,93,109,86,0.011507529,-0.012640836,0.910345536,-0.000838571,0.000297611,2.817675582,0.505,0.51754386,0.572815534,0.543778802,84,110,88,118,1.271020912,9.277104053,23.37301826,-0.790702203,28.45345146,-14.02639188,0.505,0.489932886,0.374358974,0.424418605,129,76,122,73,0.011507529,-0.012640836,0.910345536,0.003555962,-0.004162747,0.854234399
128,60,192,48,30,200,1500,500,TRUE,100,1060,0.678771379,0.589999974,0.585215606,0.989583333,0.735483871,10,202,3,285,2.371150085,-1.824015016,1.299961933,1.48697587,11.77840364,31.06952012,0.5925,0.587628866,0.987012987,0.736672052,9,160,3,228,0.5925,0.587628866,0.987012987,0.736672052,9,160,3,228,1.579104804,13.24752545,40.50770525,1.579104804,13.24752545,40.50770525,0.5925,0,0,0,237,0,163,0,0.008128685,-0.008918491,0.911441647,0.008128685,-0.008918491,0.911441647,0.5625,0.578651685,0.891774892,0.701873935,19,150,25,206,1.579104804,13.24752545,40.50770525,1.591866488,13.36801629,39.30371029,0.5625,0.3125,0.061349693,0.102564103,215,22,153,10,0.008128685,-0.008918491,0.911441647,0.007520436,-0.006967509,1.079358003,0.4875,0.590277778,0.367965368,0.453333333,110,59,146,85,1.579104804,13.24752545,40.50770525,-1.13889994,58.02503752,-37.48885341,0.4875,0.420454545,0.680981595,0.519906323,84,153,52,111,0.008128685,-0.008918491,0.911441647,-0.001707633,0.003930598,0.434446128
129,60,192,48,30,200,1500,500,TRUE,100,1560,0.705542789,0.492000014,0.492,1,0.659517426,0,254,0,246,1.814957852,-2.048201635,0.886122646,-0.47261349,49.33082392,-16.73647297,0.485,0.485,1,0.653198653,0,206,0,194,0.47,0.445783133,0.381443299,0.411111111,114,92,120,74,-1.044190047,57.50853242,-41.7706132,0.20203088,22.29664383,2.900131626,0.47,0.487179487,0.553398058,0.518181818,74,120,92,114,0.007463419,-0.008277031,0.901702333,-0.003099613,0.001535669,2.018411437,0.48,0.465686275,0.489690722,0.477386935,97,109,99,95,-1.044190047,57.50853242,-41.7706132,0.242538845,21.17991224,4.082657353,0.48,0.494897959,0.470873786,0.482587065,95,99,109,97,0.007463419,-0.008277031,0.901702333,-0.001021803,-0.000293169,3.485372792,0.49,0.484076433,0.783505155,0.598425197,44,162,42,152,-1.044190047,57.50853242,-41.7706132,-1.22010552,63.0178834,-46.21156554,0.49,0.511627907,0.213592233,0.301369863,152,42,162,44,0.007463419,-0.008277031,0.901702333,0.003534878,-0.00465687,0.759067459
130,60,192,48,30,200,1500,500,TRUE,100,2060,0.699528,0.497999996,0.498,1,0.664886515,0,251,0,249,1.483026011,-1.553841588,0.954425485,-0.226381591,26.84184343,-4.805920535,0.4825,0.4825,1,0.650927487,0,207,0,193,0.4575,0.398305085,0.243523316,0.302250804,136,71,146,47,-0.385131212,21.15386491,-7.917545768,-0.493808538,20.20369557,-8.693821916,0.4575,0.482269504,0.657004831,0.556237219,47,146,71,136,0.00579852,-0.005632454,1.029483737,-0.002904253,0.002233524,1.300300959,0.475,0.458937198,0.492227979,0.475,95,112,98,95,-0.385131212,21.15386491,-7.917545768,-1.400773981,28.57307648,-21.96526843,0.475,0.492227979,0.458937198,0.475,95,98,112,95,0.00579852,-0.005632454,1.029483737,0.000315786,-0.000508585,0.620909862,0.51,0.493273543,0.569948187,0.528846154,94,113,83,110,-0.385131212,21.15386491,-7.917545768,-1.026476449,23.91111287,-17.01382134,0.51,0.531073446,0.45410628,0.489583333,110,83,113,94,0.00579852,-0.005632454,1.029483737,-4.54E-05,-0.000191507,0.237240366
131,60,192,48,30,200,1500,500,TRUE,100,2560,0.694807565,0.504000008,0.507070707,0.984313725,0.669333333,1,244,4,251,1.611345304,-1.522506837,1.058350126,0.349387425,20.26220178,5.430194312,0.51,0.512562814,0.990291262,0.675496689,0,194,2,204,0.49,0.503355705,0.72815534,0.595238095,46,148,56,150,-0.105572523,22.607119,-1.674281887,-0.205617691,16.3096402,-3.102122733,0.49,0.46,0.234693878,0.310810811,150,54,150,46,0.005824709,-0.006006408,0.969749152,0.002714851,-0.00255454,1.062755424,0.495,0.507633588,0.645631068,0.568376068,65,129,73,133,-0.105572523,22.607119,-1.674281887,-0.009243654,13.13744583,0.0512375,0.495,0.47826087,0.336734694,0.395209581,132,72,130,66,0.005824709,-0.006006408,0.969749152,0.001851479,-0.001760437,1.051715901,0.5025,0.517948718,0.490291262,0.503740648,100,94,105,101,-0.105572523,22.607119,-1.674281887,-1.902067871,36.90462259,-26.06073341,0.5025,0.492753623,0.520408163,0.506203474,99,105,94,102,0.005824709,-0.006006408,0.969749152,1.14E-05,4.37E-05,0.261419568
132,60,192,48,30,200,1500,500,TRUE,100,3060,0.692268899,0.533999979,0.578475336,0.481343284,0.525458248,138,94,139,129,1.216922213,-1.222745526,0.99523751,-0.947143757,28.26775956,-11.33675241,0.525,0.556179775,0.471428571,0.510309278,111,79,111,99,0.5225,0.55026455,0.495238095,0.521303258,105,85,106,104,-1.623874421,25.00774559,-21.43634769,-1.33894685,26.4089469,-18.53704375,0.5225,0.461538462,0.031578947,0.0591133,203,7,184,6,0.004366681,-0.005455618,0.800400844,0.00393384,-0.00493056,0.797848558,0.5025,0.534161491,0.40952381,0.46361186,115,75,124,86,-1.623874421,25.00774559,-21.43634769,-0.605657511,22.03901753,-7.653094439,0.5025,0.458715596,0.263157895,0.334448161,151,59,140,50,0.004366681,-0.005455618,0.800400844,0.001548033,-0.002164417,0.715219383,0.4875,0.512820513,0.476190476,0.49382716,95,95,110,100,-1.623874421,25.00774559,-21.43634769,-2.416788947,37.67643109,-31.75853908,0.4875,0.466960352,0.557894737,0.508393285,89,121,84,106,0.004366681,-0.005455618,0.800400844,-0.000838897,0.000214734,3.906671871
133,60,192,48,30,200,1500,500,FALSE,100,60,0.692943604,0.512000024,0.568181818,0.535714286,0.551470588,106,114,130,150,2.376760327,-2.435199487,0.976002311,-0.377109212,16.12019184,-5.338533986,0.52,0.570776256,0.560538117,0.56561086,83,94,98,125,0.515,0.56223176,0.587443946,0.574561404,75,102,92,131,-0.437697938,12.36278447,-5.357541505,0.060870672,12.32262383,0.952538089,0.515,0.490196078,0.260416667,0.340136054,156,52,142,50,0.008317095,-0.00861735,0.965156967,0.003042079,-0.002841462,1.070603446,0.5325,0.590909091,0.524663677,0.555819477,96,81,106,117,-0.437697938,12.36278447,-5.357541505,0.359011947,9.963798495,4.420170082,0.5325,0.517006803,0.395833333,0.448377581,137,71,116,76,0.008317095,-0.00861735,0.965156967,0.001700983,-0.001534142,1.108751344,0.555,0.605633803,0.578475336,0.591743119,93,84,94,129,-0.437697938,12.36278447,-5.357541505,0.799864504,11.66388185,9.899179781,0.555,0.529411765,0.65625,0.586046512,96,112,66,126,0.008317095,-0.00861735,0.965156967,-0.001534068,0.002337009,0.656423415
134,60,192,48,30,200,1500,500,FALSE,100,560,0.716713644,0.508000016,0.519685039,0.75862069,0.61682243,56,183,63,198,2.949604133,-3.042441498,0.9694859,-0.012015544,43.7134422,-3.107822117,0.5125,0.517799353,0.776699029,0.621359223,45,149,46,160,0.49,0.504587156,0.533980583,0.518867925,86,108,96,110,1.271020912,9.277104053,23.37301826,-0.949898961,47.46976387,-23.35375197,0.49,0.474860335,0.435897436,0.454545455,111,94,110,85,0.011507529,-0.012640836,0.910345536,-0.00246061,0.001844901,1.333735223,0.4925,0.507462687,0.495145631,0.501228501,95,99,104,102,1.271020912,9.277104053,23.37301826,-0.513225976,20.73123482,-9.539847965,0.4925,0.47979798,0.487179487,0.48346056,102,103,100,95,0.011507529,-0.012640836,0.910345536,-0.001889334,0.00131172,1.440348712,0.505,0.51754386,0.572815534,0.543778802,84,110,88,118,1.271020912,9.277104053,23.37301826,-0.790702203,28.45345146,-14.02639188,0.505,0.489932886,0.374358974,0.424418605,129,76,122,73,0.011507529,-0.012640836,0.910345536,0.003555962,-0.004162747,0.854234399
135,60,192,48,30,200,1500,500,FALSE,100,1060,0.678771379,0.589999974,0.585215606,0.989583333,0.735483871,10,202,3,285,2.371150085,-1.824015016,1.299961933,1.48697587,11.77840364,31.06952012,0.5925,0.587628866,0.987012987,0.736672052,9,160,3,228,0.5925,0.587628866,0.987012987,0.736672052,9,160,3,228,1.579104804,13.24752545,40.50770525,1.579104804,13.24752545,40.50770525,0.5925,0,0,0,237,0,163,0,0.008128685,-0.008918491,0.911441647,0.008128685,-0.008918491,0.911441647,0.5575,0.588235294,0.779220779,0.670391061,43,126,51,180,1.579104804,13.24752545,40.50770525,1.392162515,14.00823353,33.22324433,0.5575,0.414634146,0.208588957,0.27755102,189,48,129,34,0.008128685,-0.008918491,0.911441647,0.006015092,-0.004907239,1.225758808,0.4875,0.590277778,0.367965368,0.453333333,110,59,146,85,1.579104804,13.24752545,40.50770525,-1.13889994,58.02503752,-37.48885341,0.4875,0.420454545,0.680981595,0.519906323,84,153,52,111,0.008128685,-0.008918491,0.911441647,-0.001707633,0.003930598,0.434446128
136,60,192,48,30,200,1500,500,FALSE,100,1560,0.705542789,0.492000014,0.492,1,0.659517426,0,254,0,246,1.814957852,-2.048201635,0.886122646,-0.47261349,49.33082392,-16.73647297,0.485,0.485,1,0.653198653,0,206,0,194,0.47,0.445783133,0.381443299,0.411111111,114,92,120,74,-1.044190047,57.50853242,-41.7706132,0.20203088,22.29664383,2.900131626,0.47,0.487179487,0.553398058,0.518181818,74,120,92,114,0.007463419,-0.008277031,0.901702333,-0.003099613,0.001535669,2.018411437,0.4925,0.47715736,0.484536082,0.480818414,103,103,100,94,-1.044190047,57.50853242,-41.7706132,-0.406159443,26.61805777,-11.02768882,0.4925,0.507389163,0.5,0.503667482,94,100,103,103,0.007463419,-0.008277031,0.901702333,-0.000395453,-0.000883059,0.447822097,0.49,0.484076433,0.783505155,0.598425197,44,162,42,152,-1.044190047,57.50853242,-41.7706132,-1.22010552,63.0178834,-46.21156554,0.49,0.511627907,0.213592233,0.301369863,152,42,162,44,0.007463419,-0.008277031,0.901702333,0.003534878,-0.00465687,0.759067459
