,y,date,m,d,lgrpf,lgrau,lgm3,lgm1
85,1985,1985/4/30,4,30,-0.000471291,-0.001551415,0,0
86,1985,1985/5/1,5,1,-0.004741253,-0.012128283,0,0
87,1985,1985/6/28,6,28,-0.007371965,0.007235538,0,0
88,1985,1985/7/1,7,1,-0.003081841,-0.005294244,0,0
89,1985,1985/7/2,7,2,0.004211766,-0.00788823,0,0
90,1985,1985/7/3,7,3,-0.000483894,0.002948664,0,0
91,1985,1985/7/8,7,8,0.001289187,-0.001542041,0,0
92,1985,1985/7/9,7,9,0.007339464,0.007793989,0,0
93,1985,1985/5/10,5,10,-0.001108905,-0.000483048,0,0
94,1985,1985/5/13,5,13,0.003318257,0.008884383,0,0
95,1985,1985/5/14,5,14,0.001100475,0.007378153,0,0
96,1985,1985/7/16,7,16,-0.004577378,-0.00636463,0,0
97,1985,1985/7/17,7,17,0.001741931,0.005165841,0,0
98,1985,1985/7/18,7,18,0.000158011,-0.007534418,0,0
99,1985,1985/7/19,7,19,-0.001424177,-0.001495459,0,0
100,1985,1985/7/22,7,22,0.004729206,-0.002252888,0,0
101,1985,1985/7/23,7,23,-0.008550003,0.007128088,0,0
102,1985,1985/7/24,7,24,0.002868745,-0.00644416,0,0
103,1985,1985/7/25,7,25,-0.00047681,-0.000478637,0,0
104,1985,1985/7/26,7,26,-0.000159053,-0.000616166,0,0
105,1985,1985/7/29,7,29,0.000953446,0.01289243,0,0
106,1985,1985/7/30,7,30,-0.000317583,-0.00166588,0,0
107,1985,1985/7/31,7,31,-0.003508825,0.002993999,0,0
108,1985,1985/8/1,8,1,0.001119522,-0.00722058,0,0
109,1985,1985/2/4,2,4,-0.010835688,-0.029063669,0,0
110,1985,1985/2/5,2,5,0.004237053,0.001151784,0,0
111,1985,1985/2/6,2,6,0.004677683,0.001148738,0,0
112,1985,1985/2/7,2,7,0.002240286,-0.001724248,0,0
113,1985,1985/2/8,2,8,0.006023159,-0.002671701,0,0
114,1985,1985/2/11,2,11,0.007026309,0.000506719,0,0
115,1985,1985/2/12,2,12,-0.010661916,0.003387031,0,0
116,1985,1985/2/13,2,13,0.007241033,0.001003818,0,0
117,1985,1985/2/14,2,14,-0.00031233,0.001358624,0,0
118,1985,1985/2/15,2,15,0,-0.000214237,0,0
119,1985,1985/2/19,2,19,-0.00804126,-0.00200466,0,0
120,1985,1985/2/20,2,20,-0.001754083,0.00043035,0,0
121,1985,1985/2/21,2,21,-0.000639609,-0.00439522,0,0
122,1985,1985/2/22,2,22,-0.006123734,-0.002105234,0,0
123,1985,1985/2/25,2,25,-0.005224658,-0.021098345,0,0
124,1985,1985/2/26,2,26,0.005711263,0.002285766,0,0
125,1985,1985/8/23,8,23,0.018409099,0.068864064,0,0
126,1985,1985/8/26,8,26,0.002324508,0,0,0
127,1985,1985/8/27,8,27,-0.000309216,0.001488974,0,0
128,1985,1985/8/28,8,28,0.000309216,0.006287724,0,0
129,1985,1985/8/29,8,29,-0.002479918,-0.0049971,0,0
130,1985,1985/8/30,8,30,0.002170702,-0.004859743,0,0
131,1985,1985/9/3,9,3,0.003082302,-0.006631581,0,0
132,1985,1985/9/4,9,4,-0.000153597,-0.002920977,0,0
133,1985,1985/9/5,9,5,-0.004633342,-0.000333176,0,0
134,1985,1985/9/6,9,6,-0.003429479,-0.011277502,0,0
135,1985,1985/9/9,9,9,-0.001724949,0.002659998,0,0
136,1985,1985/9/10,9,10,0.003910476,0.003116635,0,0
137,1985,1985/9/11,9,11,-0.000155745,-0.001216891,0,0
138,1985,1985/9/12,9,12,0.00248524,-0.002035759,0,0
139,1985,1985/9/13,9,13,-0.0004649,0.00277982,0,0
140,1985,1985/9/16,9,16,-0.001397695,-0.002711807,0,0
141,1985,1985/9/17,9,17,0.00248169,-0.002318425,0,0
142,1985,1985/9/18,9,18,0.000309216,-0.00184996,0,0
143,1985,1985/9/19,9,19,0.001542788,6.86577E-05,0,0
144,1985,1985/9/20,9,20,0.007935327,0.003895657,0,0
145,1985,1985/9/23,9,23,-0.01025157,0.011150146,0,0
146,1985,1985/9/24,9,24,0.002778013,0.000596422,0,0
147,1985,1985/9/25,9,25,0.002913195,0.000793957,0,0
148,1985,1985/9/26,9,26,0.007273769,0.00099041,0,0
149,1985,1985/9/27,9,27,0.000450591,-0.000858225,0,0
150,1985,1985/9/30,9,30,0.002245969,-0.003783135,0,0
151,1985,1985/10/1,10,1,-0.000747366,-0.004691498,0,0
152,1985,1985/10/2,10,2,0.003427286,0.003623615,0,0
153,1985,1985/10/3,10,3,0.000741497,-6.683E-05,0,0
154,1985,1985/10/4,10,4,-0.004617821,0.004124132,0,0
155,1985,1985/10/7,10,7,0.002389522,-0.002989419,0,0
156,1985,1985/10/8,10,8,0.001635203,0.000799193,0,0
157,1985,1985/10/9,10,9,-0.004324341,0.000266071,0,0
158,1985,1985/10/10,10,10,-0.004822195,-0.001398695,0,0
159,1985,1985/10/11,10,11,0.00105944,0.000133403,0,0
160,1985,1985/10/14,10,14,0.004959984,0.001398266,0,0
161,1985,1985/10/15,10,15,0.004312496,0.00046509,0,0
162,1985,1985/10/16,10,16,0.000147946,-0.004472141,0,0
163,1985,1985/10/17,10,17,0.002801434,0.002475382,0,0
164,1985,1985/10/18,10,18,-0.000441132,0.000999527,0,0
165,1985,1985/10/21,10,21,0.00657039,-0.000133137,0,0
166,1985,1985/10/22,10,22,0.004469128,0.002125318,0,0
167,1985,1985/10/23,10,23,-0.013843808,-0.00245834,0,0
168,1985,1985/10/24,10,24,0.003832902,0.000399596,0,0
169,1985,1985/10/25,10,25,0.000879733,-0.001066408,0,0
170,1985,1985/10/28,10,28,0.007550612,0.001465637,0,0
171,1985,1985/10/29,10,29,0.00071915,-0.000266112,0,0
172,1985,1985/10/30,10,30,-0.001439492,-0.000133117,0,0
173,1985,1985/10/31,10,31,0.003732802,-0.001466987,0,0
174,1985,1985/11/1,11,1,0.000142931,-0.002142684,0,0
