date,y,m,d,BIGpf,BIGau
1983/10/5,1983,10,5,-5.75987,-44.37275
1983/10/6,1983,10,6,17.25676,49.8876
1983/10/7,1983,10,7,30.03531,37.31641
1983/10/10,1983,10,10,53.82714,39.1651
1983/10/11,1983,10,11,-39.5973,-21.71477
1983/10/12,1983,10,12,-7.10909,-46.50757
1983/10/13,1983,10,13,19.87621,42.6963
1983/10/14,1983,10,14,-15.60936,1.08928
1983/10/17,1983,10,17,8.52115,-41.036
1983/10/18,1983,10,18,9.92026,24.6681
1983/10/19,1983,10,19,-51.26158,-35.67684
1983/10/20,1983,10,20,-2.86568,-47.10098
1983/10/21,1983,10,21,4.29782,49.85578
1983/10/24,1983,10,24,15.72238,2.75306
1983/10/25,1983,10,25,-1.42696,38.36065
1983/10/26,1983,10,26,-28.63805,-59.32777
1983/10/27,1983,10,27,11.47789,-90.53951
1983/10/28,1983,10,28,-7.17013,36.55462
1983/10/31,1983,10,31,15.75868,-64.88444
1983/11/1,1983,11,1,1.42978,-48.5889
1983/11/2,1983,11,2,-4.29074,59.94301
1983/11/3,1983,11,3,10.00514,-59.94301
1983/11/4,1983,11,4,5.70689,37.20503
1983/11/7,1983,11,7,-9.99199,-22.85766
1983/11/8,1983,11,8,-1.42931,37.08284
1983/11/9,1983,11,9,0,8.5128
1983/11/10,1983,11,10,-17.18846,-13.6285
1983/11/11,1983,11,11,-17.25676,2.27439
1983/11/14,1983,11,14,1.44068,6.81603
1983/11/15,1983,11,15,2.87994,7.37198
1983/11/16,1983,11,16,-31.78483,0
1983/11/17,1983,11,17,-147.48259,-85.83174
1983/11/18,1983,11,18,35.85527,-5.78288
1983/11/21,1983,11,21,-7.44548,-11.58892
1983/11/22,1983,11,22,-14.92935,26.03172
1983/11/23,1983,11,23,22.37483,-8.65991
1983/11/28,1983,11,28,73.76103,208.72713
1983/11/29,1983,11,29,-44.10612,-30.39936
1983/11/30,1983,11,30,-23.70771,147.23257
1983/12/1,1983,12,1,7.42257,-62.10098
1983/12/2,1983,12,2,14.80719,16.28606
1983/12/5,1983,12,5,-11.84171,-38.09625
1983/12/6,1983,12,6,-1.48249,-2.73399
1983/12/7,1983,12,7,-34.23762,29.97966
1983/12/8,1983,12,8,31.27112,13.559
1983/12/9,1983,12,9,5.93096,-134.73971
1983/12/12,1983,12,12,-5.93096,27.83949
1983/12/13,1983,12,13,-8.91165,-22.81519
1983/12/14,1983,12,14,10.39515,-2.2323
1983/12/15,1983,12,15,-25.28867,-2.79199
1983/12/16,1983,12,16,-81.31965,-130.41154
1983/12/19,1983,12,19,-28.97849,-25.97981
1983/12/20,1983,12,20,57.76491,35.7541
1983/12/21,1983,12,21,18.08307,5.73932
1983/12/22,1983,12,22,29.97213,3.43996
1983/12/23,1983,12,23,53.43403,0
1983/12/27,1983,12,27,60.0653,0
1983/12/28,1983,12,28,18.87293,-10.32805
1983/12/29,1983,12,29,-46.60482,50.26084
1983/12/30,1983,12,30,-8.79436,0
1984/1/3,1984,1,3,-29.44381,6.8089
1984/1/4,1984,1,4,14.74686,-103.27172
1984/1/5,1984,1,5,-29.54396,14.49099
1984/1/6,1984,1,6,-17.82333,0
1984/1/9,1984,1,9,42.94848,-117.30476
1984/1/10,1984,1,10,-2.94837,70.76238
1984/1/11,1984,1,11,1.47443,-41.13781
1984/1/12,1984,1,12,11.77748,8.84811
1984/1/13,1984,1,13,5.87679,55.62324
1984/1/16,1984,1,16,20.50635,-48.55771
1984/1/17,1984,1,17,-21.97481,-15.91364
1984/1/18,1984,1,18,32.19179,11.79348
1984/1/19,1984,1,19,8.73832,70.09613
1984/1/20,1984,1,20,5.8158,-40.75179
1984/1/23,1984,1,23,-54.09562,1.16966
1984/1/24,1984,1,24,26.40096,-73.71595
1984/1/25,1984,1,25,11.68244,16.62146
1984/1/26,1984,1,26,24.72133,5.92085
1984/1/27,1984,1,27,27.46421,35.3566
1984/1/30,1984,1,30,-36.17333,-1.76101
1984/1/31,1984,1,31,13.05713,45.55578
1984/2/1,1984,2,1,46.11,50.82903
1984/2/2,1984,2,2,-15.79515,58.18059
1984/2/3,1984,2,3,-11.52358,-1.70012
1984/2/6,1984,2,6,7.20582,-26.15212
